unique_id,variable,response
440109,age,46
440109,sex,f
355243,age,27
355243,sex,m
214625,age,20
214625,sex,f
214148,age,20
214148,sex,m
213400,age,29
213400,sex,f
216503,age,33
216503,sex,f
369479,age,28
369479,sex,f
220525,age,33
220525,sex,f
225948,age,23
225948,sex,m
227399,age,16
227399,sex,m
228671,age,18
228671,sex,f
232178,age,27
232178,sex,m
232474,age,30
232474,sex,m
233978,age,44
233978,sex,m
235367,age,21
235367,sex,m
238241,age,51
238241,sex,f
239346,age,20
239346,sex,f
241587,age,41
241587,sex,f
243747,age,23
243747,sex,f
245717,age,24
245717,sex,m
249730,age,37
249730,sex,f
251939,age,28
251939,sex,m
253188,age,32
253188,sex,f
253519,age,22
253519,sex,m
254504,age,24
254504,sex,m
285703,age,33
285703,sex,m
287257,age,21
287257,sex,f
289486,age,56
289486,sex,f
289105,age,32
289105,sex,m
291619,age,22
291619,sex,f
293517,age,21
293517,sex,f
296088,age,49
296088,sex,m
310835,age,30
310835,sex,m
310981,age,52
310981,sex,m
311817,age,48
311817,sex,f
316021,age,34
316021,sex,m
314655,age,19
314655,sex,f
329537,age,17
329537,sex,m
337414,age,31
337414,sex,f
339121,age,29
339121,sex,m
343954,age,21
343954,sex,f
347838,age,21
347838,sex,f
348671,age,26
348671,sex,m
354340,age,32
354340,sex,f
357132,age,51
357132,sex,f
368445,age,25
368445,sex,m
361490,age,41
361490,sex,f
365480,age,21
365480,sex,f
365691,age,32
365691,sex,f
365766,age,20
365766,sex,f
366258,age,25
366258,sex,m
372836,age,26
372836,sex,f
388154,age,19
388154,sex,f
491808,age,22
491808,sex,f
418670,age,17
418670,sex,m
394075,age,21
394075,sex,f
401021,age,20
401021,sex,f
419450,age,52
419450,sex,m
421489,age,18
421489,sex,f
429123,age,43
429123,sex,f
429559,age,19
429559,sex,m
433267,age,34
433267,sex,f
435868,age,31
435868,sex,f
442495,age,37
442495,sex,f
439554,age,37
439554,sex,m
440148,age,35
440148,sex,f
446741,age,38
446741,sex,m
585230,age,24
585230,sex,f
448449,age,60
448449,sex,f
448828,age,30
448828,sex,f
449383,age,42
449383,sex,m
449631,age,32
449631,sex,m
466546,age,29
466546,sex,f
467663,age,21
467663,sex,f
469605,age,25
469605,sex,m
478588,age,28
478588,sex,f
516095,age,33
516095,sex,f
487509,age,19
487509,sex,f
488298,age,43
488298,sex,m
499594,age,20
499594,sex,f
510366,age,19
510366,sex,m
511349,age,45
511349,sex,m
519468,age,27
519468,sex,f
522741,age,46
522741,sex,m
527128,age,26
527128,sex,f
539125,age,32
539125,sex,m
559109,age,58
559109,sex,f
548429,age,19
548429,sex,m
550775,age,17
550775,sex,m
555831,age,18
555831,sex,f
557720,age,36
557720,sex,m
559640,age,28
559640,sex,m
568128,age,39
568128,sex,m
568742,age,21
568742,sex,f
575534,age,30
575534,sex,m
578307,age,22
578307,sex,m
581474,age,22
581474,sex,f
593293,age,29
593293,sex,f
593817,age,22
593817,sex,f
597411,age,53
597411,sex,f
627581,age,23
627581,sex,f
628624,age,21
628624,sex,f
629563,age,42
629563,sex,m
630625,age,28
630625,sex,f
643556,age,27
643556,sex,f
645951,age,20
645951,sex,f
648762,age,19
648762,sex,f
652654,age,29
652654,sex,m
662985,age,15
662985,sex,f
659647,age,51
659647,sex,f
669471,age,26
669471,sex,m
201268,age,NA
201268,sex,NA
196719,age,NA
196719,sex,NA
194849,age,NA
194849,sex,NA
193446,age,NA
193446,sex,NA
193083,age,NA
193083,sex,NA
186334,age,NA
186334,sex,NA
181481,age,NA
181481,sex,NA
180366,age,NA
180366,sex,NA
179098,age,NA
179098,sex,NA
175558,age,NA
175558,sex,NA
173471,age,NA
173471,sex,NA
173044,age,NA
173044,sex,NA
170731,age,NA
170731,sex,NA
164811,age,NA
164811,sex,NA
164203,age,NA
164203,sex,NA
163143,age,NA
163143,sex,NA
162402,age,NA
162402,sex,NA
214776,age,48
214776,sex,m
233700,age,36
233700,sex,m
246726,age,23
246726,sex,f
298159,age,29
298159,sex,m
343463,age,41
343463,sex,f
343750,age,27
343750,sex,m
348917,age,31
348917,sex,f
350255,age,26
350255,sex,m
353512,age,42
353512,sex,m
360521,age,29
360521,sex,m
450960,age,38
450960,sex,f
453001,age,20
453001,sex,m
455618,age,25
455618,sex,f
462128,age,44
462128,sex,f
526620,age,20
526620,sex,f
548565,age,23
548565,sex,f
558041,age,28
558041,sex,f
579249,age,54
579249,sex,f
617893,age,42
617893,sex,m
634062,age,32
634062,sex,m
652538,age,35
652538,sex,m
668486,age,22
668486,sex,m
664326,age,46
664326,sex,m
194648,age,NA
194648,sex,NA
173703,age,NA
173703,sex,NA
167754,age,NA
167754,sex,NA
501196,age,16
501196,sex,m
217118,age,21
217118,sex,m
217597,age,25
217597,sex,f
309503,age,22
309503,sex,f
311846,age,58
311846,sex,f
340489,age,17
340489,sex,f
353222,age,29
353222,sex,f
393892,age,18
393892,sex,f
395088,age,33
395088,sex,m
440645,age,27
440645,sex,f
448235,age,39
448235,sex,f
460603,age,32
460603,sex,f
497745,age,18
497745,sex,f
505557,age,44
505557,sex,f
523839,age,28
523839,sex,f
549211,age,48
549211,sex,f
596741,age,62
596741,sex,f
628838,age,18
628838,sex,f
648950,age,32
648950,sex,m
199840,age,NA
199840,sex,NA
199166,age,NA
199166,sex,NA
195431,age,NA
195431,sex,NA
183947,age,NA
183947,sex,NA
179074,age,NA
179074,sex,NA
164311,age,NA
164311,sex,NA
563894,age,28
504354,age,21
470307,sex,f
341410,sex,f
611186,age,22
460641,sex,f
604610,age,24
261108,age,28
355441,age,27
308712,age,36
108132,sex,NA
498423,age,39
567321,age,16
175356,age,NA
94165,age,NA
674100,sex,f
337704,age,26
569198,age,52
382844,sex,f
342806,age,29
166328,sex,NA
130056,sex,NA
511210,age,24
164230,sex,NA
NA,sex,m
252606,sex,m
457996,age,NA
286261,age,28
321335,sex,m
189542,sex,NA
322866,sex,m
170987,age,NA
127637,sex,NA
93399,sex,NA
584902,sex,f
251550,age,57
645696,sex,f
418261,sex,m
116746,sex,NA
375509,age,29
341967,age,30
379632,age,29
206903,age,NA
669059,age,22
136149,age,NA
122992,sex,NA
298477,sex,NA
350108,age,19
607524,age,40
152751,sex,f
170015,age,36
336131,sex,NA
399209,age,19
307337,age,52
267116,age,35
455238,age,31
379129,age,20
190769,age,NA
664516,sex,m
120660,age,NA
586252,sex,m
NA,sex,m
255824,sex,m
619478,age,21
625214,age,20
361719,age,36
344511,age,31
228323,sex,f
433464,sex,m
235002,age,27
329897,age,35
310964,age,35
517953,sex,f
546970,age,19
453724,age,43
301974,sex,m
223697,sex,f
558988,sex,f
355523,age,23
401460,age,35
499819,age,19
469130,age,44
170379,sex,NA
645210,sex,f
550345,age,23
NA,sex,f
509118,sex,m
493088,age,29
196453,sex,NA
326757,sex,NA
566807,age,17
344736,age,30
477257,sex,NA
454771,sex,f
551773,age,65
612687,age,21
NA,age,NA
659118,sex,f
308094,sex,f
378287,age,27
261066,sex,f
643783,sex,f
NA,sex,f
134029,sex,NA
577532,sex,f
199563,age,NA
411777,age,39
645496,age,18
195497,sex,NA
641353,age,NA
160049,sex,NA
300728,sex,f
277895,sex,m
596216,sex,f
359274,sex,f
560216,sex,f
279540,sex,m
641072,sex,NA
500267,age,18
452844,age,42
113540,age,NA
NA,age,NA
449949,age,28
548419,age,18
523091,age,23
248678,sex,f
305274,age,NA
340849,age,21
107251,sex,NA
624960,sex,f
293615,age,27
140150,age,51
638205,age,16
554627,age,54
108098,age,23
213510,age,NA
315948,sex,m
524730,sex,NA
450164,age,42
404976,sex,m
225692,sex,m
482073,sex,f
620566,sex,f
239322,sex,f
285743,age,28
173131,sex,NA
95346,sex,NA
615570,age,28
571870,sex,NA
254857,age,24
385256,age,35
642176,age,19
232592,sex,m
315389,age,18
216349,age,34
507340,age,22
409719,age,NA
134710,age,NA
547848,age,18
203750,sex,NA
114473,sex,NA
264795,age,27
206376,sex,NA
185742,sex,NA
225109,age,39
NA,sex,f
311754,sex,m
155282,sex,NA
512940,sex,f
621050,age,17
442686,age,36
484144,age,27
500168,sex,f
142936,sex,NA
173261,age,NA
550873,sex,m
146978,sex,NA
444511,sex,m
225407,age,36
500601,age,24
627328,age,22
291446,age,23
NA,sex,m
405160,age,18
220917,sex,f
307955,age,18
450312,sex,f
568787,age,NA
501629,sex,f
105874,age,NA
527153,age,20
562246,age,55
304018,age,20
134199,sex,NA
248481,age,37
262455,age,21
349041,sex,f
178095,age,28
190613,age,NA
566443,age,28
195596,age,NA
452790,sex,m
670864,age,36
245873,age,27
625159,sex,f
460178,sex,f
375926,sex,f
364699,sex,f
203105,sex,NA
247396,age,24
201599,sex,NA
374420,sex,m
423849,sex,m
123068,sex,NA
316456,age,24
492855,age,18
313992,sex,f
232697,age,29
395249,age,18
572168,sex,m
359915,sex,f
223473,age,19
543297,sex,m
655732,age,29
360482,age,52
571992,sex,m
497262,sex,f
240292,sex,f
265927,age,46
354700,sex,NA
272208,sex,f
171692,sex,NA
131894,sex,NA
364994,age,56
277041,age,20
187692,age,NA
322719,sex,f
328830,sex,m
221146,age,27
393532,sex,f
95439,age,NA
157202,sex,NA
86889,age,NA
439457,sex,f
608778,age,26
424114,age,23
124605,sex,NA
102628,age,NA
238327,age,21
174476,sex,NA
228695,age,NA
512334,sex,f
391525,sex,m
179709,sex,NA
188238,age,21
249232,age,23
300071,sex,f
354181,age,34
501000,sex,f
488486,age,18
179510,sex,NA
301287,sex,f
398312,age,27
605571,age,23
163039,sex,NA
338388,sex,m
477821,age,26
615936,age,37
392297,sex,f
172065,age,NA
661163,age,21
664887,sex,m
525250,age,19
96494,sex,NA
NA,age,NA
638100,age,18
279369,sex,f
360501,age,18
260119,sex,m
249388,age,18
611003,age,29
362254,sex,m
NA,age,NA
242927,sex,f
659891,age,38
549997,age,40
592022,sex,f
147343,sex,NA
294250,sex,f
133018,age,NA
115197,sex,NA
478612,age,19
593108,age,33
437079,sex,f
270737,sex,f
208728,sex,NA
272434,age,21
619554,age,15
229317,age,21
632308,age,20
94533,sex,NA
176170,age,NA
199752,sex,NA
445676,sex,m
NA,age,NA
501524,age,22
95010,sex,NA
648426,sex,f
218519,age,42
507877,sex,f
618249,age,34
105272,age,NA
314586,age,21
419414,sex,f
481344,sex,f
662862,age,35
486802,sex,m
441864,sex,f
169892,age,NA
373700,age,21
123641,sex,NA
354294,sex,f
227458,age,58
204558,sex,NA
317695,age,23
344737,age,33
503918,sex,f
257299,age,40
NA,sex,f
244370,age,18
322282,age,21
242563,age,26
516258,age,34
562278,sex,f
363066,sex,m
478693,sex,f
601782,sex,m
173166,sex,f
147433,sex,f
556757,sex,f
272585,age,42
353669,age,27
628721,sex,f
272944,age,19
129949,sex,NA
145017,age,44
495178,sex,m
550217,age,27
171831,sex,NA
599281,sex,f
381804,age,32
301585,sex,NA
530924,age,20
517633,age,35
344823,sex,m
540747,age,18
598864,sex,f
541812,age,18
545775,age,44
416090,age,24
387843,age,31
NA,sex,f
479700,sex,f
406813,sex,m
395396,age,18
493509,age,15
571277,sex,m
160276,sex,NA
217945,age,18
109945,sex,NA
417047,age,19
NA,sex,m
315741,age,26
482080,sex,f
216895,sex,m
236006,sex,f
382736,age,34
221960,age,18
378376,sex,m
603982,age,36
351386,age,25
441114,sex,f
94833,age,17
454595,sex,m
335456,sex,m
143676,age,NA
243776,age,34
570900,sex,f
436135,age,40
478453,age,NA
235449,sex,m
163059,age,NA
122354,sex,NA
355098,sex,f
480096,age,28
113058,age,NA
205155,age,NA
267673,age,21
536243,sex,m
551790,age,NA
126359,age,NA
368898,age,19
251622,age,34
585669,age,33
476250,sex,m
NA,age,NA
164949,sex,NA
351844,sex,m
566402,age,27
187119,age,NA
282338,age,40
512408,age,23
401456,sex,f
646689,sex,f
247100,age,37
169046,age,NA
364844,sex,m
258215,sex,m
601961,age,19
423241,age,28
154148,age,23
406316,sex,m
126302,sex,NA
619168,age,20
508845,sex,f
315603,sex,m
503174,sex,f
491400,sex,f
260407,age,34
538432,sex,f
153503,sex,NA
493851,sex,m
335938,age,21
457938,sex,m
655097,age,30
321340,sex,m
494509,sex,NA
424566,sex,f
490735,sex,NA
480806,sex,m
287410,sex,m
236899,age,24
86261,age,NA
249620,sex,f
628970,age,20
599331,age,21
656274,age,25
111435,age,NA
173880,age,NA
418530,sex,f
204576,age,NA
448425,sex,m
381198,age,38
NA,age,NA
309997,sex,m
264101,sex,f
213206,sex,f
546950,age,52
166574,sex,NA
405937,sex,f
283529,sex,f
449015,sex,f
399872,sex,m
509434,sex,m
179538,age,NA
457804,age,22
134619,sex,NA
645989,sex,f
393236,age,24
663876,age,27
406108,age,25
271316,age,30
602068,age,49
359759,sex,f
228979,sex,f
338747,age,39
554816,age,25
507630,sex,m
646181,sex,f
139586,sex,NA
174414,age,NA
359030,sex,f
231482,sex,f
510468,age,22
489618,sex,f
389746,age,18
575991,age,37
487434,sex,NA
353547,age,19
224825,age,20
514635,sex,f
441929,age,55
271215,age,23
146021,age,NA
377544,sex,f
286150,sex,m
490060,sex,f
181683,age,NA
531885,sex,m
641680,sex,f
439535,age,46
577826,age,29
112777,sex,NA
581781,age,45
182922,sex,NA
95524,age,NA
597951,age,NA
422715,age,53
583114,age,18
217982,sex,f
261132,age,56
281334,age,17
166639,sex,NA
385320,sex,f
519026,sex,NA
256134,age,37
503949,sex,f
300618,age,19
412789,sex,m
218847,sex,m
542216,sex,m
271051,age,21
135090,sex,NA
391768,age,21
NA,sex,f
519054,age,30
183227,sex,NA
596204,age,18
157816,age,NA
405716,sex,NA
392856,sex,f
201896,age,NA
278892,sex,f
650297,age,29
566536,sex,m
120661,age,NA
394488,age,45
663623,age,23
197717,age,NA
346309,age,19
462480,sex,m
654647,age,22
108157,age,NA
108938,sex,NA
243698,sex,f
378681,age,18
284232,age,41
122130,age,NA
484045,sex,m
543037,age,NA
459910,sex,m
187941,age,NA
226686,sex,m
265240,age,18
127421,sex,NA
123296,sex,NA
551400,age,27
90726,age,NA
504726,age,23
NA,age,NA
351763,age,23
135497,sex,NA
NA,sex,m
555489,sex,f
548495,age,30
215813,age,36
108272,sex,f
514680,sex,f
265033,sex,f
413751,sex,f
526182,sex,f
502111,sex,NA
643866,age,35
424205,sex,NA
540808,sex,m
168881,age,NA
215646,age,50
276021,sex,f
270831,sex,NA
645203,age,29
263340,age,NA
305487,age,27
160457,sex,NA
NA,sex,NA
224940,sex,m
306326,sex,f
436176,age,32
158280,sex,f
350522,age,29
290875,age,34
504270,sex,f
409552,sex,f
585309,sex,f
162122,age,NA
429748,sex,m
279668,age,19
484685,age,35
164905,sex,NA
106821,sex,NA
220864,age,25
264575,age,23
NA,sex,m
165021,age,NA
149148,sex,NA
106037,age,NA
656844,sex,m
433912,age,52
NA,age,NA
147280,sex,NA
387740,sex,m
207507,sex,NA
NA,sex,m
485217,age,18
577379,age,21
193641,age,NA
511796,age,21
121633,age,NA
448146,age,35
260716,sex,f
254698,age,24
516081,age,NA
442364,age,20
517215,sex,f
NA,sex,m
448924,sex,f
418740,sex,f
138247,age,NA
136396,age,NA
NA,age,NA
230840,sex,f
232196,age,17
141732,sex,NA
NA,sex,m
399930,sex,m
NA,sex,m
206732,sex,NA
368835,sex,m
519167,age,23
453310,age,28
407474,sex,f
338597,age,33
276796,sex,f
345361,age,56
227797,age,50
575326,sex,f
555841,age,NA
415637,sex,m
174147,sex,NA
590344,age,41
502137,age,17
503667,age,22
239398,age,56
313028,age,26
325150,sex,f
190491,sex,NA
568001,sex,m
NA,sex,m
376886,age,21
674293,age,35
307361,sex,m
598331,age,23
340729,sex,f
418104,sex,f
648484,age,28
270116,age,50
505583,age,56
172649,sex,NA
124657,age,NA
417127,sex,f
551037,age,36
176793,sex,NA
545605,sex,f
NA,age,NA
192155,age,NA
616720,age,33
NA,age,NA
594216,age,20
569618,sex,m
276425,sex,m
363948,sex,m
574879,sex,f
NA,sex,f
100449,sex,NA
213485,age,18
139205,sex,NA
231009,sex,f
602475,sex,m
456970,sex,f
357868,sex,f
150006,age,NA
284234,sex,f
194318,age,NA
294980,sex,f
247732,sex,f
176099,age,NA
228393,age,18
457387,sex,f
269042,age,NA
255254,age,18
257715,age,26
453856,age,20
217070,sex,NA
443568,age,39
315310,age,19
447360,age,26
255405,sex,f
156348,age,60
197723,sex,NA
236165,sex,f
364455,age,22
609261,age,31
447258,sex,m
236538,sex,m
430484,age,19
266227,sex,f
192001,age,NA
492530,age,18
NA,sex,m
671639,age,22
134823,sex,NA
516105,sex,f
126315,age,NA
542318,age,27
152397,age,NA
340427,sex,f
341065,age,21
171729,age,NA
463398,age,26
120164,age,NA
422432,sex,f
